ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063830116.1	NP_573096.1	32564	Slc25A46a	Solute carrier family 25 member 46a
XP_063830117.1	NP_001036552.1	4379878	mRpL34	mitochondrial ribosomal protein L34
XP_063830120.1	NP_648527.1	39353	CG7252	uncharacterized protein
XP_063830121.1	NP_652721.1	59253	CG18508	uncharacterized protein
XP_063830122.1	NP_524364.2	41860	Fkbp39	FK506-binding protein 39kD
XP_063830130.1	NP_723504.1	318997	Cpr30F	Cuticular protein 30F
XP_063830131.1	NP_476929.1	47895	Nmdmc	NAD-dependent methylenetetrahydrofolate dehydrogenase
XP_063830133.1	NP_572375.1	31646	Inx2	Innexin 2
XP_063830136.1	NP_650162.1	41479	Cog1	Component of oligomeric golgi complex 1
XP_063830137.1	NP_523368.2	32604	Fur2	Furin 2
XP_063830140.1	NP_649440.3	40529	CG14641	uncharacterized protein
XP_063830142.1	NP_573023.2	32470	Scamp	scamp
XP_063830146.1	NP_572346.1	31613	RpL17	Ribosomal protein L17
XP_063830149.1	NP_476869.1	33968	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C
XP_063830153.1	NP_649908.1	41152	CG9393	uncharacterized protein
XP_063830156.1	NP_572972.1	32408	CG14411	uncharacterized protein
XP_063830157.1	NP_570027.1	31266	ttm50	tiny tim 50
XP_063830158.1	NP_651365.1	43046	RIOK2	RIO kinase 2
XP_063830161.1	NP_650440.2	41847	Zip88E	Zinc/iron regulated transporter-related protein 88E
XP_063830164.1	NP_651892.1	43745	CG2150	uncharacterized protein
XP_063830165.1	NP_649759.1	40948	CG10435	uncharacterized protein
XP_063830166.1	NP_996440.2	32497	Chsy	Chondroitin sulfate synthase
XP_063830168.1	NP_572766.1	32152	wisp	wispy
XP_063830174.1	NP_651934.2	43810	CG11360	uncharacterized protein
XP_063830178.1	NP_524482.1	42919	nAChRalpha2	nicotinic Acetylcholine Receptor alpha2
XP_063830179.1	NP_001097134.1	5740752	CG34183	uncharacterized protein
XP_063830180.1	NP_524483.1	42920	nAChRbeta2	nicotinic Acetylcholine Receptor beta2
XP_063830181.1	NP_524481.2	42918	nAChRalpha1	nicotinic Acetylcholine Receptor alpha1
XP_063830182.1	NP_524311.1	41313	Sodh2	Sorbitol dehydrogenase 2
XP_063830185.1	NP_001036706.2	41401	CG42327	uncharacterized protein
XP_063830186.1	NP_511150.1	32358	ben	bendless
XP_063830187.1	NP_511132.2	32133	Hsc70-3	Heat shock protein 70 cognate 3
XP_063830188.1	NP_610357.1	35787	Pbp49	PSEA-binding protein 49kD
XP_063830196.1	NP_651822.1	43647	CG15543	uncharacterized protein
XP_063830198.1	NP_477464.1	40876	Syt4	Synaptotagmin 4
XP_063830202.1	NP_572247.2	31490	AdamTS-B	ADAM metallopeptidase with thrombospondin type 1 motif B
XP_063830206.1	NP_001014616.2	3346160	dpr4	defective proboscis extension response 4
XP_063830207.1	NP_573387.1	32939	CG14200	uncharacterized protein
XP_063830208.1	NP_730432.1	40135	CG9368	uncharacterized protein
XP_063830211.1	NP_650070.1	41369	ninaG	ninaG
XP_063830212.1	NP_001027147.1	3771851	CG33927	uncharacterized protein
XP_063830214.1	NP_648564.1	39402	Pbgs	Porphobilinogen synthase
XP_063830215.1	NP_001096850.2	2768865	dpr7	defective proboscis extension response 7
XP_063830219.1	NP_788586.1	40800	dpr11	defective proboscis extension response 11
XP_063830221.1	NP_650843.1	42369	ClpX	Caseinolytic protease chaperone subunit
XP_063830222.1	NP_001097360.1	37018	CG34195	uncharacterized protein
XP_063830223.1	NP_788858.1	31491	CG33080	uncharacterized protein
XP_063830224.1	NP_001096864.1	5740544	futsch	futsch
XP_063830225.1	NP_727642.1	326226	CG32647	uncharacterized protein
XP_063830226.1	NP_523832.2	47873	bgcn	benign gonial cell neoplasm
XP_063830232.1	NP_651605.1	43358	CG4849	uncharacterized protein
XP_063830233.1	NP_001027058.1	3771905	CG43736	uncharacterized protein
XP_063830240.1	NP_608341.1	32972	CG14223	uncharacterized protein
XP_063830244.1	NP_651390.2	43071	rha	rha
XP_063830248.1	NP_572185.1	31410	Klf15	Kruppel-like factor 15
XP_063830250.1	NP_731669.2	41469	ATP8B	ATPase 8B
XP_063830259.1	NP_524160.2	40133	ash1	absent, small, or homeotic discs 1
XP_063830264.1	NP_525080.3	31800	Crag	Calmodulin-binding protein related to a Rab3 GDP/GTP exchange protein
XP_063830266.1	NP_476739.1	38231	alpha-Spec	alpha Spectrin
XP_063830267.1	NP_572495.1	31801	Caf1-180	Chromatin assembly factor 1, p180 subunit
XP_063830274.1	NP_001097796.1	41816	CG6966	uncharacterized protein
XP_063830275.1	NP_001162829.1	43835	fuss	fussel
XP_063830276.1	NP_573250.1	32768	Srx	Sulfiredoxin
XP_063830277.1	NP_001097597.2	5740867	CG34428	uncharacterized protein
XP_063830278.1	NP_651260.3	42915	CG5768	uncharacterized protein
XP_063830283.1	NP_788357.1	36732	Impbeta11	Importin beta11
XP_063830287.1	NP_523360.1	32567	exd	extradenticle
XP_063830288.1	NP_649859.1	41080	Iru	Iruka
XP_063830289.1	NP_572613.2	31953	CG34408	uncharacterized protein
XP_063830291.1	NP_611585.1	37450	TAF1C-like	TATA box-binding protein-associated factor RNA polymerase I subunit C-like
XP_063830292.1	NP_524319.2	41366	Blm	Bloom syndrome helicase
XP_063830294.1	NP_648572.1	39410	Ncc69	sodium chloride cotransporter 69
XP_063830296.1	NP_648839.1	39764	Zn72D	Zinc-finger protein at 72D
XP_063830299.1	NP_525123.2	38173	hfp	half pint
XP_063830301.1	NP_722737.3	33361	wry	weary
XP_063830304.1	NP_725973.1	246671	Obp57d	Odorant-binding protein 57d
XP_063830317.1	NP_726400.1	246497	HSPC300	Haematopoietic stem/progenitor cell protein 300
XP_063830319.1	NP_648746.1	39644	GlyRS	Glycyl-tRNA synthetase
XP_063830322.1	NP_727440.3	31997	X11Lbeta	X11Lbeta
XP_063830328.1	NP_573262.2	32782	CG6867	uncharacterized protein
XP_063830329.1	NP_477222.1	41864	Surf4	Surfeit 4
XP_063830332.1	NP_610248.4	35604	CG3358	uncharacterized protein
XP_063830335.1	NP_647933.1	38582	CG13708	uncharacterized protein
XP_063830337.1	NP_476947.1	34250	Cks30A	Cyclin-dependent kinase subunit 30A
XP_063830338.1	NP_610143.3	35452	Nubpl	NUBP iron-sulfur cluster assembly factor, mitochondrial
XP_063830341.1	NP_609066.1	33943	Aatf	Apoptosis antagonizing transcription factor
XP_063830342.1	NP_477303.1	35686	Orc1	Origin recognition complex subunit 1
XP_063830344.1	NP_650198.1	41532	Aos1	Activator of SUMO 1
XP_063830347.1	NP_611857.3	37811	CG16787	uncharacterized protein
XP_063830365.1	NP_511131.3	32132	CkIIbeta	Casein kinase II beta subunit
XP_063830366.1	NP_610794.1	36375	CG8818	uncharacterized protein
XP_063830367.1	NP_609982.1	35242	CG10165	uncharacterized protein
XP_063830369.1	NP_610630.1	36160	Polr2E	RNA polymerase II, I and III subunit E
XP_063830376.1	NP_609412.1	34441	Grip75	Grip75
XP_063830383.1	NP_610340.1	35757	CG14763	uncharacterized protein
XP_063830384.1	NP_610305.1	35702	CG17985	uncharacterized protein
XP_063830386.1	NP_524119.2	39866	Dab	Disabled
XP_063830387.1	NP_610939.2	36576	RpS23	Ribosomal protein S23
XP_063830394.1	NP_651241.1	42894	Uck	Uridine-cytidine kinase
XP_063830395.1	NP_001036433.1	3355016	RNASEK	Ribonuclease kappa
XP_063830396.1	NP_608999.2	33867	CG9222	uncharacterized protein
XP_063830399.1	NP_732338.1	14462485	koko	kokopelli
XP_063830401.1	NP_525119.1	37872	mRpS17	mitochondrial ribosomal protein S17
XP_063830402.1	NP_611071.1	36758	Pex11ab	Peroxin 11a/b
XP_063830409.1	NP_652307.1	50139	CG12848	uncharacterized protein
XP_063830411.1	NP_608490.1	33166	Creld	Cysteine rich with EGF like domains
XP_063830415.1	NP_723505.2	318908	Datp	Diadenosine tetraphosphatase
XP_063830418.1	NP_523990.1	39050	Dhpr	Dihydropteridine reductase
XP_063830419.1	NP_001097760.1	41568	NijC	Ninjurin C
XP_063830422.1	NP_650771.1	42279	CG6005	uncharacterized protein
XP_063830423.1	NP_611921.1	37911	CG13581	uncharacterized protein
XP_063830425.1	NP_722612.1	33179	ND-15	NADH dehydrogenase (ubiquinone) 15 kDa subunit
XP_063830426.1	NP_652724.1	59261	Mccc2	Methylcrotonoyl-CoA carboxylase 2
XP_063830432.1	NP_609030.1	33901	Rchy1	Ring finger and CHY zinc finger domain containing 1
XP_063830434.1	NP_524852.2	45922	fzr	fizzy-related
XP_063830437.1	NP_001027396.1	3772288	CG33774	uncharacterized protein
XP_063830439.1	NP_610475.1	35952	CG2063	uncharacterized protein
XP_063830440.1	NP_609222.1	34159	Dad1	Defender against apoptotic cell death 1
XP_063830441.1	NP_524768.2	44554	Smyd3	SET and MYND domain containing, class 3
XP_063830442.1	NP_647775.1	38378	ND-30	NADH dehydrogenase (ubiquinone) 30 kDa subunit
XP_063830443.1	NP_572507.1	31817	Uros1	Uroporphyrinogen III synthase 1
XP_063830446.1	NP_732865.2	326147	CG31515	uncharacterized protein
XP_063830452.1	NP_524004.2	39108	RpS9	Ribosomal protein S9
XP_063830454.1	NP_723338.1	318841	Bsg	Basigin
XP_063830455.1	NP_647887.1	38526	CG1316	uncharacterized protein
XP_063830456.1	NP_524990.1	53557	esn	espinas
XP_063830461.1	NP_524282.4	41013	pch2	pachytene checkpoint 2
XP_063830462.1	NP_572452.1	31744	Gbeta5	G protein beta subunit 5
XP_063830465.1	NP_730035.1	251690	CG32147	uncharacterized protein
XP_063830466.1	NP_650738.1	42240	Cpsf73	Cleavage and polyadenylation specificity factor 73
XP_063830468.1	NP_650121.1	41433	Kyat	Kynurenine aminotransferase
XP_063830469.1	NP_648780.1	39688	mrn	marionette
XP_063830470.1	NP_649284.1	40332	CG10565	uncharacterized protein
XP_063830471.1	NP_609879.1	35102	CG10283	uncharacterized protein
XP_063830480.1	NP_610666.1	36202	CG18335	uncharacterized protein
XP_063830482.1	NP_523528.1	34313	yip2	yippee interacting protein 2
XP_063830486.1	NP_611539.1	37387	cpa	capping protein alpha
XP_063830487.1	NP_648993.1	39958	Nedd4	Nedd4
XP_063830490.1	NP_611537.2	37384	RIC-3	RIC3 acetylcholine receptor chaperone
XP_063830492.1	NP_001097818.1	318653	CG31269	uncharacterized protein
XP_063830495.1	NP_611538.1	37385	ND-B14.7	NADH dehydrogenase (ubiquinone) B14.7 subunit
XP_063830496.1	NP_001027083.1	3772560	SLIRP1	SRA stem-loop interacting RNA binding protein 1
XP_063830497.1	NP_650520.1	41951	CG5013	uncharacterized protein
XP_063830498.1	NP_524664.1	43958	spag	spaghetti
XP_063830501.1	NP_648076.3	38774	Cpr65Eb	Cuticular protein 65Eb
XP_063830502.1	NP_788592.1	40894	CG1142	uncharacterized protein
XP_063830503.1	NP_611533.2	37377	dgt3	dim gamma-tubulin 3
XP_063830512.1	NP_727781.1	32387	dpr8	defective proboscis extension response 8
XP_063830513.1	NP_570046.1	31289	CG3603	uncharacterized protein
XP_063830517.1	NP_524839.3	45784	ThrRS	Threonyl-tRNA synthetase
XP_063830521.1	NP_609378.1	34388	CG4972	uncharacterized protein
XP_063830527.1	NP_652011.3	45248	Nckx30C	Nckx30C
XP_063830529.1	NP_788023.1	34514	Tmem214	Transmembrane protein 214
XP_063830530.1	NP_001097432.1	37699	Mthfs	Methenyltetrahydrofolate synthetase
XP_063830531.1	NP_001036548.1	36694	Trpm	Transient receptor potential cation channel, subfamily M
XP_063830536.1	NP_611508.1	37344	Fem-1	Fem-1
XP_063830537.1	NP_523495.2	33941	Tsp	Thrombospondin
XP_063830539.1	NP_572682.1	32042	CG2061	uncharacterized protein
XP_063830542.1	NP_001027221.1	3771966	HemK2	HemK methyltransferase 2
XP_063830544.1	NP_722835.1	3772677	Snapin	SNAP associated protein
XP_063830546.1	NP_477428.1	34251	Eaat1	Excitatory amino acid transporter 1
XP_063830547.1	NP_477387.1	33942	AkhR	Adipokinetic hormone receptor
XP_063830548.1	NP_610326.1	35733	puml	pummelig
XP_063830556.1	NP_477185.1	35679	dpa	disc proliferation abnormal
XP_063830557.1	NP_524772.2	44653	wech	wech
XP_063830558.1	NP_649574.1	40701	Rab23	Rab23
XP_063830560.1	NP_648773.1	39679	CG7945	uncharacterized protein
XP_063830563.1	NP_610341.2	35758	CG8726	uncharacterized protein
XP_063830570.1	NP_476849.1	35524	Src42A	Src oncogene at 42A
XP_063830576.1	NP_610637.1	36168	CG13229	uncharacterized protein
XP_063830578.1	NP_572768.1	32154	pot	papillote
XP_063830579.1	NP_511119.2	32080	hop	hopscotch
XP_063830580.1	NP_723899.1	26067080	vas	vasa
XP_063830584.1	NP_724760.2	246553	CG30345	uncharacterized protein
XP_063830585.1	NP_610233.1	35584	Eb1	Eb1
XP_063830592.1	NP_996048.1	2768971	CG33489	uncharacterized protein
XP_063830593.1	NP_996047.1	2768970	CG33490	uncharacterized protein
XP_063830594.1	NP_651217.2	42861	GatB	Glutamyl-tRNA amidotransferase, subunit B
XP_063830597.1	NP_608349.1	32984	CG14230	uncharacterized protein
XP_063830599.1	NP_524270.2	40932	mRpS9	mitochondrial ribosomal protein S9
XP_063830601.1	NP_660194.1	246507	AIMP3	aaRS-interacting multifunctional protein 3
XP_063830603.1	NP_648061.2	38755	tow	target of wingless
XP_063830604.1	NP_524121.2	39906	a10	antennal protein 10
XP_063830605.1	NP_524966.1	49821	EbpIII	Ejaculatory bulb protein III
XP_063830615.1	NP_650644.1	42126	Mps1	Monopolar spindle 1
XP_063830616.1	NP_647763.1	38364	CG1271	uncharacterized protein
XP_063830617.1	NP_610937.4	36573	Sdb	SAXO downstream of blistered
XP_063830619.1	NP_648783.4	39691	CG7656	uncharacterized protein
XP_063830620.1	NP_611853.2	37807	Stoml2	Stomatin like 2
XP_063830624.1	NP_609934.3	35172	Ttc19	Tetratricopeptide repeat domain 19
XP_063830626.1	NP_611695.1	37591	CG2852	uncharacterized protein
XP_063830631.1	NP_612010.1	38032	Prp4k	Pre-mRNA processing factor 4 kinase
XP_063830638.1	NP_726490.3	246605	CG30423	uncharacterized protein
XP_063830639.1	NP_523968.1	38898	Arp3	Actin-related protein 3
XP_063830640.1	NP_610670.2	36208	CG7741	uncharacterized protein
XP_063830641.1	NP_524831.2	45587	nompA	no mechanoreceptor potential A
XP_063830645.1	NP_572826.1	32228	Paics	PAICS bifunctional enzyme
XP_063830649.1	NP_572402.1	31681	NELF-B	NELF-B
XP_063830656.1	NP_647673.2	38249	CG13937	uncharacterized protein
XP_063830658.1	NP_611039.1	36713	CG8180	uncharacterized protein
XP_063830659.1	NP_525118.2	37746	Pal2	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 2
XP_063830660.1	NP_569968.2	31163	PIG-K	Phosphatidylinositol glycan anchor biosynthesis class K
XP_063830661.1	NP_648200.1	38929	CG7201	uncharacterized protein
XP_063830662.1	NP_648289.2	39051	Use1	Unconventional SNARE in the ER 1
XP_063830665.1	NP_476691.1	37378	Prosalpha3	Proteasome alpha3 subunit
XP_063830669.1	NP_523970.1	38930	Rab19	Rab19
XP_063830671.1	NP_477380.1	36209	Fpps	Farnesyl pyrophosphate synthase
XP_063830673.1	NP_573109.1	32582	Mfe2	peroxisomal Multifunctional enzyme type 2
XP_063830675.1	NP_725521.1	36772	CG8405	uncharacterized protein
XP_063830676.1	NP_610017.1	35284	CG43861	uncharacterized protein
XP_063830682.1	NP_477090.1	35577	Rab2	Rab2
XP_063830683.1	NP_611023.1	36689	CG8079	uncharacterized protein
XP_063830686.1	NP_610477.2	35954	Mad1	Mitotic arrest-deficient 1
XP_063830688.1	NP_648781.1	39689	CG12301	uncharacterized protein
XP_063830689.1	NP_609478.1	34528	Art8	Arginine methyltransferase 8
XP_063830691.1	NP_652015.1	317824	Zyx	Zyxin
XP_063830692.1	NP_609643.2	34748	Bdp1	B double prime 1
XP_063830693.1	NP_608837.2	33652	Secp43	tRNA Selenocysteine associated protein
XP_063830694.1	NP_611531.2	37375	CG15651	uncharacterized protein
XP_063830695.1	NP_611332.1	37118	PIG-O	Phosphatidylinositol glycan anchor biosynthesis class O
XP_063830697.1	NP_610296.2	35690	CG1598	uncharacterized protein
XP_063830699.1	NP_536786.1	44510	cv	crossveinless
XP_063830700.1	NP_001033945.1	36589	Ih	I[[h]] channel
XP_063830713.1	NP_476887.2	44544	Hnf4	Hepatocyte nuclear factor 4
XP_063830717.1	NP_648509.1	39333	Gcat	Glycine C-acetyltransferase
XP_063830718.1	NP_611870.3	37832	CG3907	uncharacterized protein
XP_063830724.1	NP_726051.1	37429	Sgf29	SAGA-associated factor 29kDa
XP_063830726.1	NP_476902.1	35788	Pabp2	Pabp2
XP_063830731.1	NP_608833.1	33648	morgue	modifier of rpr and grim, ubiquitously expressed
XP_063830732.1	NP_573088.1	32549	CG15916	uncharacterized protein
XP_063830733.1	NP_573268.1	32791	Mvb12	Multivesicular body subunit 12
XP_063830734.1	NP_995958.2	38226	Dhc62B	Dynein heavy chain at 62B
XP_063830736.1	NP_665890.2	43862	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K
XP_063830740.1	NP_650573.1	42030	Mettl4	Methyltransferase like 4
XP_063830742.1	NP_573122.1	32606	CG4239	uncharacterized protein
XP_063830743.1	NP_611371.1	37164	Jabba	jabba
XP_063830746.1	NP_611803.1	37723	mi	minus
XP_063830751.1	NP_724519.1	246489	Ufsp1	UFM1 specific peptidase 1
XP_063830755.1	NP_511063.1	31588	RpL7A	Ribosomal protein L7A
XP_063830757.1	NP_611084.2	36774	CG8414	uncharacterized protein
XP_063830758.1	NP_477098.1	36775	Rho1	Rho1
XP_063830760.1	NP_726243.1	37617	blw	bellwether
XP_063830761.1	NP_609648.1	34753	CG7099	uncharacterized protein
XP_063830762.1	NP_609872.1	35091	Ptp36E	Protein tyrosine phosphatase 36E
XP_063830767.1	NP_608986.1	33851	CG13995	uncharacterized protein
XP_063830768.1	NP_001097279.2	36268	CG13185	uncharacterized protein
XP_063830769.1	NP_609243.3	34192	Sema1a	Semaphorin 1a
XP_063830770.1	NP_610285.5	45398	Aldh-III	Aldehyde dehydrogenase type III
XP_063830771.1	NP_523671.1	36041	Pka-R2	Protein kinase, cAMP-dependent, regulatory subunit type 2
XP_063830772.1	NP_569923.2	31105	rush	rush hour
XP_063830773.1	NP_536773.1	117419	Irbp	Inverted repeat-binding protein
XP_063830774.1	NP_524644.1	43869	amx	almondex
XP_063830775.1	NP_572880.2	32293	Rbp1-like	Rbp1-like
XP_063830778.1	NP_477080.1	36727	Cdk5	Cyclin-dependent kinase 5
XP_063830779.1	NP_610292.2	35685	PIG-G	Phosphatidylinositol glycan anchor biosynthesis class G
XP_063830780.1	NP_611353.1	37144	zda	zonda
XP_063830781.1	NP_523827.1	37744	l(2)efl	lethal (2) essential for life
XP_063830783.1	NP_611934.1	37925	Fcp1	TFIIF-interacting CTD phosphatase
XP_063830784.1	NP_610339.1	35756	nito	spenito
XP_063830786.1	NP_523598.2	35145	mRpL13	mitochondrial ribosomal protein L13
XP_063830787.1	NP_726495.3	37981	NaCP60E	Na channel protein 60E
XP_063830794.1	NP_611117.2	36824	CG8060	uncharacterized protein
XP_063830795.1	NP_609916.5	35146	CG10602	uncharacterized protein
XP_063830799.1	NP_523684.2	36104	Galphao	G protein alpha subunit o
XP_063830804.1	NP_611963.5	37959	CG3894	uncharacterized protein
XP_063830805.1	NP_573385.1	32936	ND-18	NADH dehydrogenase (ubiquinone) 18 kDa subunit
XP_063830808.1	NP_476859.2	31293	N	Notch
XP_063830812.1	NP_524711.1	44154	Hmgs	HMG Coenzyme A synthase
XP_063830813.1	NP_610099.1	35395	CG8679	uncharacterized protein
XP_063830815.1	NP_610456.4	35926	Phax	Phosphorylated adaptor for RNA export
XP_063830818.1	NP_511075.3	31716	sws	swiss cheese
XP_063830819.1	NP_725178.2	250735	fdl	fused lobes
XP_063830820.1	NP_649289.2	40339	CG10512	uncharacterized protein
XP_063830824.1	NP_995863.1	2768848	mute	muscle wasted
XP_063830826.1	NP_477369.1	36040	TER94	Transitional endoplasmic reticulum 94
XP_063830827.1	NP_477211.1	36776	Ric	Ras-related protein interacting with calmodulin
XP_063830828.1	NP_524819.1	45329	RpL12	Ribosomal protein L12
XP_063830829.1	NP_476932.1	35398	Hr39	Hormone receptor-like in 39
XP_063830830.1	NP_524120.1	39881	TSG101	Tumor susceptibility gene 101
XP_063830831.1	NP_608743.2	33518	SerRS	Seryl-tRNA synthetase
XP_063830836.1	NP_611493.2	37328	Hil	Hillarin
XP_063830840.1	NP_725374.1	36587	Sps1	Selenophosphate synthetase 1
XP_063830842.1	NP_511142.2	32256	hep	hemipterous
XP_063830843.1	NP_723812.1	318983	CG31855	uncharacterized protein
XP_063830844.1	NP_572810.1	32208	CG1824	uncharacterized protein
XP_063830845.1	NP_477193.1	35966	wun	wunen
XP_063830850.1	NP_610541.1	36037	eIF3j	eukaryotic translation initiation factor 3 subunit j
XP_063830852.1	NP_523949.2	38753	Prat2	Phosphoribosylamidotransferase 2
XP_063830853.1	NP_611572.2	246587	CG30392	uncharacterized protein
XP_063830854.1	NP_611040.2	36714	CG12964	uncharacterized protein
XP_063830855.1	NP_611968.1	37966	CG3589	uncharacterized protein
XP_063830856.1	NP_611931.3	37921	ITP	Ion transport peptide
XP_063830861.1	NP_651456.1	43165	Cmpk	Cytidine/uridine monophosphate kinase 1
XP_063830862.1	NP_608376.1	33017	CG9581	uncharacterized protein
XP_063830863.1	NP_525105.2	35422	eEF2	eukaryotic translation elongation factor 2
XP_063830864.1	NP_476586.1	36057	Jra	Jun-related antigen
XP_063830865.1	NP_611935.1	37926	CG3511	uncharacterized protein
XP_063830866.1	NP_611739.1	37646	CNBP	CCHC-type zinc finger nucleic acid binding protein
XP_063830872.1	NP_611078.1	36767	EMC7	ER membrane protein complex subunit 7
XP_063830873.1	NP_523444.1	33227	Spp	Signal peptide peptidase
XP_063830875.1	NP_569977.1	31175	Rtca	RNA 3'-terminal phosphate cyclase
XP_063830876.1	NP_609902.3	35130	Grip71	Grip71
XP_063830881.1	NP_476894.1	37822	Sox14	Sox box protein 14
XP_063830884.1	NP_610542.1	36038	CG12134	uncharacterized protein
XP_063830885.1	NP_647765.1	38367	CG32486	uncharacterized protein
XP_063830887.1	NP_647785.3	38391	gry	gryzun
XP_063830888.1	NP_524115.1	39855	Prosbeta6	Proteasome beta6 subunit
XP_063830894.1	NP_610343.1	35762	Nup44A	Nucleoporin at 44A
XP_063830895.1	NP_523714.2	36372	vis	vismay
XP_063830900.1	NP_610048.2	35329	IKKepsilon	I-kappaB kinase epsilon
XP_063830905.1	NP_001097423.1	37619	stl	stall
XP_063830910.1	NP_610672.1	36213	sha	shavenoid
XP_063830914.1	NP_523814.1	37631	fd59A	forkhead domain 59A
XP_063830919.1	NP_610585.2	36102	RanBPM	Ran-binding protein M
XP_063830920.1	NP_648968.2	39930	CG6479	uncharacterized protein
XP_063830921.1	NP_611413.2	37221	CG11961	uncharacterized protein
XP_063830922.1	NP_648992.1	39957	Edc3	Enhancer of decapping 3
XP_063830923.1	NP_477432.3	36405	Taz	Tafazzin
XP_063830927.1	NP_648550.1	39382	CG5645	uncharacterized protein
